ID,airport_name,type,country,lat,long,elevation,service
BF-0002,Loumana Airport,closed,BF,10.567,-5.35,1148.0,no
CI-0001,Assouindé Airport,small_airport,CI,5.17544,-3.47049,23.0,no
CI-0002,Cosrou Airport,small_airport,CI,5.3156,-4.6459,732.0,no
CI-0004,Alassane Ouattara Helipad,heliport,CI,5.32812,-3.97654,732.0,no
CI-0006,Ferkessédougou Airport,closed,CI,9.592774,-5.23344,1102.0,no
CI-0007,Bongouanou Airport,closed,CI,6.648528,-4.20703,705.0,no
DBBB,Cotonou Cadjehoun International Airport,large_airport,BJ,6.35723,2.38435,19.0,yes
DBBC,Bohicon/Cana Airport,small_airport,BJ,7.125417,2.046806,548.0,no
DBBD,Djougou Airport,small_airport,BJ,9.69208333333,1.63777777778,1480.0,no
DBBK,Kandi Airport,small_airport,BJ,11.14479,2.940381,951.0,no
DBBR,Bembereke Airport,small_airport,BJ,10.27409,2.697082,1188.0,no
DFCA,Kaya Airport,small_airport,BF,13.077361,-1.100278,984.0,no
DFCB,Barsalogho Airport,small_airport,BF,13.4,-1.067,1083.0,no
DFCD,Didyr Airport,small_airport,BF,12.55,-2.617,958.0,no
DFCE,Batie Airport,small_airport,BF,9.883000373840332,-2.9170000553131104,984.0,no
DFCG,Kongoussi Airport,small_airport,BF,13.317,-1.533,1056.0,no
DFCJ,Djibo Airport,small_airport,BF,14.125,-1.624722,1001.0,no
DFCK,Koudougou Airport,small_airport,BF,12.267,-2.4,1001.0,no
DFCL,Leo Airport,small_airport,BF,11.1,-2.1,1181.0,no
DFCM,Manga Airport,small_airport,BF,11.665351,-1.042542,820.0,no
DFCU,Gourcy Airport,small_airport,BF,13.199999809265137,-2.367000102996826,1050.0,no
DFEA,Boulsa Airport,small_airport,BF,12.65,-0.567,984.0,no
DFEB,Bogande Airport,small_airport,BF,12.983,-0.167,984.0,no
DFEC,Komin-Yanga Airport,small_airport,BF,11.699999809265137,0.1500000059604644,1116.0,no
DFED,Diapaga Airport,small_airport,BF,12.060324,1.784631,951.0,no
DFEE,Dori Airport,small_airport,BF,14.021638,-0.068207,925.0,no
DFEF,Fada N'gourma Airport,small_airport,BF,12.033,0.35,1011.0,no
DFEG,Gorom-Gorom Airport,small_airport,BF,14.454174,-0.218644,935.0,no
DFEK,Koupela Airport,small_airport,BF,12.166999816894531,-0.3000000119209289,902.0,no
DFEL,Kantchari Airport,small_airport,BF,12.464046,1.492939,879.0,no
DFER,Arly Airport,small_airport,BF,11.597,1.483,761.0,no
DFOA,Dano Airport,small_airport,BF,11.133,-3.067,935.0,no
DFOB,Banfora Airport,small_airport,BF,10.688861,-4.727726,984.0,no
DFOD,Dedougou Airport,small_airport,BF,12.459,-3.49,984.0,no
DFOG,Gaoua Airport,small_airport,BF,10.384059,-3.163454,1099.0,no
DFOH,Houndé Airport,small_airport,BF,11.491211,-3.512817,1063.0,no
DFOO,Bobo Dioulasso Airport,large_airport,BF,11.1601,-4.33097,1511.0,yes
DFOU,Diebougou Airport,small_airport,BF,10.95,-3.25,984.0,no
DFOY,Aribinda Airport,small_airport,BF,14.2170000076,-0.883000016212,1122.0,no
DGAA,Kotoka International Airport,large_airport,GH,5.605189800262451,-0.1667860001325607,205.0,yes
DGAH,Ho Airport,medium_airport,GH,6.579691,0.532547,356.0,yes
DIAO,Aboisso Airport,small_airport,CI,5.461944,-3.234722,95.0,no
DIAP,Félix-Houphouët-Boigny International Airport,large_airport,CI,5.26139,-3.92629,21.0,yes
DIAU,Abengourou Airport,small_airport,CI,6.71556,-3.47028,676.0,no
DIBC,Bocanda Airport,small_airport,CI,7.033,-4.533,427.0,no
DIBI,Boundiali Airport,small_airport,CI,9.540571,-6.469831,1286.0,no
DIBK,Bouaké Airport,medium_airport,CI,7.7388,-5.07367,1230.0,yes
DIBN,Bouna Airport,small_airport,CI,9.255556,-3.033333,1148.0,no
DIDB,Dabou Airport,small_airport,CI,5.351385,-4.403458,141.0,no
DIDK,Dimbokro Airport,small_airport,CI,6.65167,-4.64056,344.0,no
DIDL,Daloa Airport,medium_airport,CI,6.79281,-6.47319,823.0,no
DIGA,Gagnoa Airport,small_airport,CI,6.102855,-5.986809,732.0,no
DIGL,Guiglo Airport,small_airport,CI,6.534711,-7.526847,722.0,no
DIKO,Korhogo Airport,medium_airport,CI,9.38718,-5.55666,1214.0,yes
DIMN,Man Airport,medium_airport,CI,7.27207,-7.58736,1089.0,no
DITM,Mahana Airport,small_airport,CI,8.2934,-7.674,1583.0,no
DMDM,Muhammadu Buhari International Cargo Airport,small_airport,NG,11.94411,11.80845,1250.0,no
DN51,Ajaokuta Airport,small_airport,NG,7.457871,6.460837,620.0,no
DN53,Kaduna Old Airport,small_airport,NG,10.598899841308594,7.448709964752197,2126.0,no
DN54,Bajoga Northeast Airport,small_airport,NG,10.919899940490724,11.50119972229004,1000.0,no
DN55,Eket Airport,small_airport,NG,4.642841,7.949139,47.0,no
DN56,Escravos Airport,small_airport,NG,5.61673,5.188485,10.0,no
DNAI,Akwa Ibom International Airport,medium_airport,NG,4.8725,8.093,170.0,yes
DNAK,Akure Airport,medium_airport,NG,7.246739864349365,5.3010101318359375,1100.0,yes
DNAN,Chinua Achebe International Airport,small_airport,NG,6.267167,6.871333,210.0,yes
DNAS,Asaba International Airport,large_airport,NG,6.204167,6.665278,305.0,yes
DNBB,Bebi Airport,small_airport,NG,6.6215,9.319001,919.0,no
DNBE,Benin Airport,medium_airport,NG,6.316979885101318,5.599500179290772,258.0,yes
DNBI,Bida Airport,small_airport,NG,9.102856,6.01475,450.0,no
DNBY,Bayelsa International Airport,medium_airport,NG,4.95759,6.203327,67.0,yes
DNCA,Margaret Ekpo International Airport,medium_airport,NG,4.976019859313965,8.347200393676758,210.0,yes
DNDS,Dutse International Airport,small_airport,NG,11.795131,9.301164,1365.0,no
DNEN,Akanu Ibiam International Airport,large_airport,NG,6.473718,7.560463,466.0,yes
